2021-09-20,2021-09-27,4,1,28907622-C,Russia,3
2021-02-02,2021-02-09,3,1,90044172-O,Sweden,7
2021-07-07,2021-07-14,1,1,31456370-T,Russia,3
2021-01-05,2021-01-12,4,2,41455986-C,Russia,6
2021-04-16,2021-04-23,3,1,02227893-O,Russia,6
2021-02-07,2021-02-14,3,2,76918242-O,Sweden,1
2021-01-19,2021-01-26,1,1,21021647-B,Russia,1
2021-03-02,2021-03-09,2,2,25096845-P,Norway,4
2021-09-28,2021-10-05,3,1,75282589-P,Russia,7
2021-01-30,2021-02-06,3,1,40093002-M,Russia,8
2021-04-26,2021-05-03,5,2,62206904-K,Sweden,6
2021-04-25,2021-05-02,4,2,99313824-P,Russia,3
2021-04-02,2021-04-09,4,2,82367993-R,Russia,4
2021-05-27,2021-06-03,3,1,96972770-G,Russia,3
2021-04-24,2021-05-01,2,2,35111361-P,Denmark,8
2021-07-05,2021-07-12,2,1,73501042-C,Russia,2
2021-02-21,2021-02-28,4,1,89526141-S,Russia,7
2021-04-18,2021-04-25,5,1,97026025-S,Sweden,6
2021-05-19,2021-05-26,5,2,23650278-A,Sweden,5
2021-01-02,2021-01-09,1,1,74638533-B,Russia,7
2021-07-30,2021-08-06,2,2,00079095-T,Russia,5
2021-02-22,2021-03-01,4,2,03405848-Y,Sweden,6
2021-05-26,2021-06-02,4,1,44207573-R,Russia,2
2021-09-26,2021-10-03,2,2,37339568-U,Russia,1
2021-05-07,2021-05-14,1,1,84446919-H,Russia,8
2021-05-25,2021-06-01,4,2,36158583-V,Netherlands,6
2021-01-04,2021-01-11,1,2,67982310-W,Norway,8
2021-05-11,2021-05-18,3,2,05733176-I,Sweden,1
2021-02-02,2021-02-09,1,2,98720845-F,Russia,4
2021-06-04,2021-06-11,1,2,79531952-V,Russia,4
2021-08-05,2021-08-12,5,1,64373348-K,Netherlands,4
2021-03-29,2021-04-05,1,2,25950691-C,Germany,5
2021-07-13,2021-07-20,5,2,19336414-P,Russia,2
2021-04-21,2021-04-28,4,1,90887548-L,Russia,7
2021-01-21,2021-01-28,3,2,96640103-W,Sweden,7
2021-03-24,2021-03-31,5,2,91193495-T,Russia,6
2021-09-26,2021-10-03,5,2,99431102-Q,Denmark,5
2021-03-03,2021-03-10,4,1,45734182-Q,Sweden,4
2021-03-18,2021-03-25,2,1,49677061-P,Russia,1
2021-07-16,2021-07-23,1,2,57559832-Y,Russia,7
2021-03-26,2021-04-02,2,1,93582241-D,Italy,7
2021-02-28,2021-03-07,3,1,18957688-Y,Sweden,4
2021-09-05,2021-09-12,4,2,00994720-L,Norway,6
2021-04-22,2021-04-29,4,1,63567547-A,Russia,1
2021-05-09,2021-05-16,4,1,62533845-T,Russia,4
2021-08-27,2021-09-03,5,1,15275453-L,Russia,3
2021-01-06,2021-01-13,3,1,32176354-Z,Russia,5
2021-05-14,2021-05-21,2,1,18788982-P,Russia,6
2021-06-22,2021-06-29,2,1,50403488-Y,Russia,6
2021-01-23,2021-01-30,4,1,30795906-B,Russia,2
2021-07-15,2021-07-22,2,1,06072442-L,Sweden,1
2021-09-16,2021-09-23,5,2,28739039-J,Russia,8
2021-03-06,2021-03-13,5,2,22770872-P,Russia,5
2021-02-12,2021-02-19,1,2,02320700-U,Sweden,1
2021-04-19,2021-04-26,5,1,82660801-W,Russia,5
2021-04-24,2021-05-01,2,1,82221801-D,Russia,4
2021-09-05,2021-09-12,5,1,34493699-A,Russia,8
2021-09-19,2021-09-26,2,2,64398845-O,Sweden,7
2021-06-10,2021-06-17,1,2,32585255-W,Russia,4
2021-07-10,2021-07-17,2,1,46834112-F,Netherlands,8
2021-08-29,2021-09-05,2,2,62594232-F,Russia,2
2021-08-15,2021-08-22,1,1,55255558-K,Russia,5
2021-03-23,2021-03-30,5,1,73086552-K,Russia,4
2021-06-25,2021-07-02,2,2,87884384-U,Russia,1
2021-03-12,2021-03-19,4,1,46557910-T,Netherlands,4
2021-04-03,2021-04-10,5,2,21673462-I,Austria,6
2021-05-01,2021-05-08,4,1,48932645-B,Russia,4
2021-05-29,2021-06-05,4,2,24173541-L,Sweden,2
2021-01-29,2021-02-05,1,2,71809212-B,Sweden,3
2021-07-22,2021-07-29,1,2,73547406-S,Russia,3
2021-02-20,2021-02-27,4,2,65236512-S,Russia,8
2021-08-24,2021-08-31,1,1,10962611-X,Russia,6
2021-04-05,2021-04-12,2,2,93401204-D,Russia,8
2021-06-25,2021-07-02,2,2,05315646-E,Sweden,8
2021-04-26,2021-05-03,3,2,46275872-R,Sweden,7
2021-01-22,2021-01-29,1,1,00292916-W,Netherlands,2
2021-06-04,2021-06-11,2,2,98757903-J,Sweden,1
2021-01-10,2021-01-17,4,1,76020564-T,Russia,4
2021-07-21,2021-07-28,2,1,52521901-P,Russia,3
2021-09-26,2021-10-03,1,2,29862316-Y,Denmark,6
2021-06-22,2021-06-29,4,2,79503446-U,Russia,4
2021-09-29,2021-10-06,2,1,92354559-K,Germany,7
2021-07-12,2021-07-19,1,1,18242131-F,Russia,3
2021-01-17,2021-01-24,1,1,11040952-E,Norway,4
2021-08-11,2021-08-18,4,1,33214204-A,Sweden,8
2021-02-06,2021-02-13,4,2,55333032-F,Russia,3
2021-06-16,2021-06-23,4,2,44629996-M,Netherlands,2
2021-09-08,2021-09-15,2,1,54635385-M,Italy,8
2021-05-07,2021-05-14,3,1,52961806-K,Russia,5
2021-02-15,2021-02-22,4,2,76673377-F,Sweden,7
2021-02-08,2021-02-15,2,1,66604640-U,Russia,7
2021-02-23,2021-03-02,4,2,04338095-E,Russia,7
2021-01-28,2021-02-04,1,1,89635307-Q,Russia,1
2021-05-06,2021-05-13,3,2,78776838-M,Sweden,5
2021-04-14,2021-04-21,3,1,25097561-R,Russia,3
2021-02-19,2021-02-26,1,2,87131107-O,Sweden,7
2021-02-22,2021-03-01,3,1,96870854-W,Germany,4
2021-08-11,2021-08-18,1,1,62848947-E,Sweden,5
2021-09-04,2021-09-11,4,1,13701781-B,Norway,2
2021-01-04,2021-01-11,2,2,57143224-L,Russia,6
2021-03-17,2021-03-24,4,1,74576729-D,Russia,4
2021-05-30,2021-06-06,1,1,27519295-R,Russia,5
2021-05-08,2021-05-15,3,1,51118034-Y,Sweden,7
2021-04-21,2021-04-28,3,2,96558308-F,Russia,2
2021-01-05,2021-01-12,5,2,07216524-L,Russia,5
2021-05-07,2021-05-14,4,2,57104602-H,Russia,3
2021-03-08,2021-03-15,1,1,19933329-L,Russia,7
2021-06-19,2021-06-26,1,2,68980159-F,Russia,4
2021-07-14,2021-07-21,4,2,85229717-V,Sweden,5
2021-09-21,2021-09-28,4,1,42329119-I,Russia,3
2021-02-13,2021-02-20,1,2,78276633-J,Germany,6
2021-05-11,2021-05-18,1,1,06833560-E,Russia,2
2021-01-20,2021-01-27,5,1,42269774-M,Sweden,1
2021-07-25,2021-08-01,4,2,92057287-Y,Russia,2
2021-05-07,2021-05-14,4,1,87654187-V,Sweden,5
2021-02-15,2021-02-22,2,1,56975856-X,Russia,4
2021-06-03,2021-06-10,1,1,96190908-S,Russia,3
2021-05-23,2021-05-30,3,2,74160071-K,Russia,5
2021-02-08,2021-02-15,3,1,27099847-R,Russia,7
2021-06-19,2021-06-26,5,1,65183129-B,Russia,6
2021-05-09,2021-05-16,4,2,15595708-N,Russia,2
2021-09-29,2021-10-06,5,1,68017287-Y,Russia,3
2021-01-24,2021-01-31,3,2,15389092-K,Russia,8
2021-04-13,2021-04-20,2,2,90031452-S,Russia,5
2021-07-31,2021-08-07,4,2,37111615-C,Sweden,1
2021-06-04,2021-06-11,2,1,59332569-T,Russia,2
2021-03-21,2021-03-28,5,1,67447186-G,Belgium,2
2021-05-02,2021-05-09,1,2,65806307-Z,Germany,1
2021-04-21,2021-04-28,5,2,44428186-N,Germany,4
2021-08-17,2021-08-24,2,2,39026767-Z,Sweden,4
2021-08-13,2021-08-20,5,2,29242533-M,Russia,2
2021-02-08,2021-02-15,2,1,88424134-O,Russia,3
2021-07-09,2021-07-16,4,2,50748610-M,Russia,7
2021-01-28,2021-02-04,3,2,26997653-H,Russia,5
2021-08-15,2021-08-22,5,2,57185350-I,Russia,5
2021-08-17,2021-08-24,3,1,52349458-M,Russia,2
2021-09-30,2021-10-07,3,2,55196899-D,Norway,1
2021-04-28,2021-05-05,1,2,89186654-G,Sweden,4
2021-03-03,2021-03-10,2,1,56215937-H,Sweden,3
2021-05-30,2021-06-06,4,2,54116155-C,Netherlands,4
2021-09-05,2021-09-12,2,1,05755234-R,Russia,6
2021-06-17,2021-06-24,4,1,49317559-A,Sweden,8
2021-01-04,2021-01-11,4,1,84878702-Z,Russia,4
2021-09-08,2021-09-15,5,2,06847865-M,Russia,7
2021-05-24,2021-05-31,5,1,35277713-H,Sweden,4
2021-06-07,2021-06-14,1,2,78177809-Y,Italy,1
2021-07-31,2021-08-07,4,1,00953027-Z,Russia,7
2021-05-16,2021-05-23,4,1,91173683-D,Russia,1
2021-02-25,2021-03-04,3,2,44408480-M,Russia,8
2021-04-30,2021-05-07,5,1,62967821-N,Russia,2
2021-04-22,2021-04-29,5,2,39194803-Y,Russia,3
2021-01-25,2021-02-01,5,1,03235457-J,Russia,7
2021-07-25,2021-08-01,5,2,53454900-D,Russia,4
2021-05-06,2021-05-13,2,2,08718635-V,Netherlands,3
2021-06-16,2021-06-23,5,1,80540189-K,Netherlands,6
2021-07-17,2021-07-24,2,2,07374529-S,Russia,2
2021-01-24,2021-01-31,3,1,35613590-K,Russia,8
2021-02-01,2021-02-08,4,2,76843357-W,Russia,2
2021-02-21,2021-02-28,3,2,86264271-D,Norway,6
2021-01-19,2021-01-26,1,1,94139336-Y,Sweden,2
2021-07-28,2021-08-04,5,2,83413772-I,Russia,4
2021-08-16,2021-08-23,3,1,59768358-W,Netherlands,5
2021-02-21,2021-02-28,4,2,37330441-S,Russia,6
2021-02-13,2021-02-20,4,2,26089005-A,Russia,1
2021-06-26,2021-07-03,2,1,72163785-F,Norway,1
2021-03-07,2021-03-14,1,2,27840261-J,Sweden,2
2021-09-20,2021-09-27,3,1,40250003-U,Netherlands,8
2021-05-16,2021-05-23,1,2,79672878-I,Netherlands,7
2021-02-27,2021-03-06,1,1,51641459-N,Sweden,8
2021-01-07,2021-01-14,4,2,51539416-D,Italy,1
2021-08-29,2021-09-05,5,2,83955708-Y,Russia,1
2021-05-23,2021-05-30,5,2,59555552-S,Russia,7
2021-01-04,2021-01-11,3,2,46455821-M,Sweden,6
2021-01-12,2021-01-19,3,1,64122796-S,Russia,8
2021-09-06,2021-09-13,2,1,93450338-Q,Sweden,7
2021-04-28,2021-05-05,3,2,41764570-V,Sweden,4
2021-04-25,2021-05-02,2,1,84554932-J,Sweden,7
2021-01-12,2021-01-19,3,2,52697830-O,Russia,8
2021-04-22,2021-04-29,4,1,73710303-P,Russia,6
2021-07-14,2021-07-21,3,2,23350053-I,Russia,1
2021-06-10,2021-06-17,1,2,96341833-X,Russia,3
2021-03-26,2021-04-02,3,2,80668461-V,Russia,3
2021-03-03,2021-03-10,2,2,92815447-A,Sweden,2
2021-06-27,2021-07-04,4,1,04998498-A,Russia,4
2021-08-23,2021-08-30,3,2,90460561-P,Russia,6
2021-03-04,2021-03-11,5,2,05987657-Z,Russia,3
2021-06-23,2021-06-30,4,1,12321165-I,Sweden,1
2021-02-07,2021-02-14,3,1,65963690-X,Sweden,7
2021-07-07,2021-07-14,4,2,72762718-R,Russia,6
2021-06-06,2021-06-13,5,1,49683091-C,Russia,4
2021-07-29,2021-08-05,4,1,00654306-V,Russia,2
2021-01-09,2021-01-16,2,2,94335117-E,Sweden,4
2021-05-19,2021-05-26,3,2,87751386-B,Sweden,4
2021-04-13,2021-04-20,4,1,98589473-F,Russia,4
2021-06-19,2021-06-26,5,1,67447059-O,Germany,7
2021-06-07,2021-06-14,3,2,07848260-X,Italy,5
2021-01-29,2021-02-05,3,1,51028298-S,Russia,1
2021-05-13,2021-05-20,5,2,78944842-B,Norway,7
2021-07-26,2021-08-02,2,1,88086135-H,Russia,8
2021-08-14,2021-08-21,5,2,35297597-F,Sweden,5
2021-07-05,2021-07-12,4,2,96709067-D,Russia,6
2021-05-16,2021-05-23,5,1,05185518-S,Russia,2
2021-07-13,2021-07-20,4,1,35250517-I,Sweden,2
2021-03-21,2021-03-28,3,1,36263609-F,Russia,1
2021-06-26,2021-07-03,1,2,74508783-E,Sweden,6
